,station_id,name,latitude,longitude
89,SL-008,"189    Federal St & Polk St
Name: start_station_name, dtype: object","189    41.872078
Name: start_lat, dtype: float64","189   -87.629544
Name: start_lng, dtype: float64"
90,13099,"191    Halsted St & 18th St
Name: start_station_name, dtype: object","191    41.857612
Name: start_lat, dtype: float64","191   -87.646154
Name: start_lng, dtype: float64"
91,TA1306000026,"193    Racine Ave & Fullerton Ave
Name: start_station_name, dtype: object","193    41.925563
Name: start_lat, dtype: float64","193   -87.658404
Name: start_lng, dtype: float64"
92,13434,"194    Ashland Ave & Grand Ave
Name: start_station_name, dtype: object","194    41.891072
Name: start_lat, dtype: float64","194   -87.666611
Name: start_lng, dtype: float64"
93,13194,"195    Ogden Ave & Race Ave
Name: start_station_name, dtype: object","195    41.891795
Name: start_lat, dtype: float64","195   -87.658751
Name: start_lng, dtype: float64"
94,KP1705001026,"196    LaSalle Dr & Huron St
Name: start_station_name, dtype: object","196    41.894877
Name: start_lat, dtype: float64","196   -87.632326
Name: start_lng, dtype: float64"
95,TA1307000149,"202    Ravenswood Ave & Irving Park Rd
Name: start_station_name, dtype: object","202    41.95469
Name: start_lat, dtype: float64","202   -87.67393
Name: start_lng, dtype: float64"
96,SL-010,"203    Financial Pl & Ida B Wells Dr
Name: start_station_name, dtype: object","203    41.875024
Name: start_lat, dtype: float64","203   -87.633094
Name: start_lng, dtype: float64"
97,TA1306000010,"210    Daley Center Plaza
Name: start_station_name, dtype: object","210    41.884241
Name: start_lat, dtype: float64","210   -87.629634
Name: start_lng, dtype: float64"
98,13056,"212    Canal St & Monroe St
Name: start_station_name, dtype: object","212    41.88169
Name: start_lat, dtype: float64","212   -87.63953
Name: start_lng, dtype: float64"
99,KA1503000009,"214    Princeton Ave & 47th St
Name: start_station_name, dtype: object","214    41.809292
Name: start_lat, dtype: float64","214   -87.633469
Name: start_lng, dtype: float64"
100,TA1305000005,"215    Dearborn St & Adams St
Name: start_station_name, dtype: object","215    41.878987
Name: start_lat, dtype: float64","215   -87.630043
Name: start_lng, dtype: float64"
101,15550,"216    Canal St & Taylor St
Name: start_station_name, dtype: object","216    41.870257
Name: start_lat, dtype: float64","216   -87.639474
Name: start_lng, dtype: float64"
102,KA1504000133,"217    Rush St & Cedar St
Name: start_station_name, dtype: object","217    41.902309
Name: start_lat, dtype: float64","217   -87.627691
Name: start_lng, dtype: float64"
103,16991,"220    Milwaukee Ave & Cuyler Ave
Name: start_station_name, dtype: object","220    41.95447
Name: start_lat, dtype: float64","220   -87.749524
Name: start_lng, dtype: float64"
104,TA1308000026,"221    Wentworth Ave & 24th St (Temp)
Name: start_station_name, dtype: object","221    41.850084
Name: start_lat, dtype: float64","221   -87.632141
Name: start_lng, dtype: float64"
105,KA1504000155,"222    2112 W Peterson Ave
Name: start_station_name, dtype: object","222    41.991175
Name: start_lat, dtype: float64","222   -87.683632
Name: start_lng, dtype: float64"
106,TA1307000153,"224    Emerald Ave & 28th St
Name: start_station_name, dtype: object","224    41.84358
Name: start_lat, dtype: float64","224   -87.645368
Name: start_lng, dtype: float64"
107,13217,"225    Calumet Ave & 33rd St
Name: start_station_name, dtype: object","225    41.8349
Name: start_lat, dtype: float64","225   -87.61793
Name: start_lng, dtype: float64"
108,TA1308000013,"228    Halsted St & Archer Ave
Name: start_station_name, dtype: object","228    41.847203
Name: start_lat, dtype: float64","228   -87.646795
Name: start_lng, dtype: float64"
109,13156,"235    Aberdeen St & Monroe St
Name: start_station_name, dtype: object","235    41.880419
Name: start_lat, dtype: float64","235   -87.655519
Name: start_lng, dtype: float64"
110,13165,"237    Racine Ave & 13th St
Name: start_station_name, dtype: object","237    41.865066
Name: start_lat, dtype: float64","237   -87.656986
Name: start_lng, dtype: float64"
111,TA1305000025,"238    Franklin St & Jackson Blvd
Name: start_station_name, dtype: object","238    41.877708
Name: start_lat, dtype: float64","238   -87.635321
Name: start_lng, dtype: float64"
112,TA1307000139,"240    MLK Jr Dr & 29th St
Name: start_station_name, dtype: object","240    41.842052
Name: start_lat, dtype: float64","240   -87.617
Name: start_lng, dtype: float64"
113,KA1503000066,"241    Wood St & 35th St
Name: start_station_name, dtype: object","241    41.830178
Name: start_lat, dtype: float64","241   -87.670339
Name: start_lng, dtype: float64"
114,15535,"244    Desplaines St & Randolph St
Name: start_station_name, dtype: object","244    41.884579
Name: start_lat, dtype: float64","244   -87.644385
Name: start_lng, dtype: float64"
115,13053,"245    Green St & Randolph St
Name: start_station_name, dtype: object","245    41.883181
Name: start_lat, dtype: float64","245   -87.648725
Name: start_lng, dtype: float64"
116,TA1308000045,"246    Wallace St & 35th St
Name: start_station_name, dtype: object","246    41.831014
Name: start_lat, dtype: float64","246   -87.641184
Name: start_lng, dtype: float64"
117,13033,"249    Milwaukee Ave & Grand Ave
Name: start_station_name, dtype: object","249    41.891578
Name: start_lat, dtype: float64","249   -87.648384
Name: start_lng, dtype: float64"
118,,"Series([], Name: end_station_name, dtype: object)","Series([], Name: end_lat, dtype: float64)","Series([], Name: end_lng, dtype: float64)"
119,TA1307000070,"259    Damen Ave & Thomas St (Augusta Blvd)
Name: start_station_name, dtype: object","259    41.901261
Name: start_lat, dtype: float64","259   -87.67751
Name: start_lng, dtype: float64"
120,TA1307000120,"260    Green St & Madison St
Name: start_station_name, dtype: object","260    41.881856
Name: start_lat, dtype: float64","260   -87.648845
Name: start_lng, dtype: float64"
121,TA1305000035,"261    State St & Van Buren St
Name: start_station_name, dtype: object","261    41.877181
Name: start_lat, dtype: float64","261   -87.627844
Name: start_lng, dtype: float64"
122,TA1305000030,"262    Clark St & Randolph St
Name: start_station_name, dtype: object","262    41.884576
Name: start_lat, dtype: float64","262   -87.63189
Name: start_lng, dtype: float64"
123,13341,"265    Canal St & Madison St
Name: start_station_name, dtype: object","265    41.882091
Name: start_lat, dtype: float64","265   -87.639833
Name: start_lng, dtype: float64"
124,KA17018054,"267    Damen Ave & Walnut (Lake) St
Name: start_station_name, dtype: object","267    41.885951
Name: start_lat, dtype: float64","267   -87.677009
Name: start_lng, dtype: float64"
125,13001,"269    Michigan Ave & Washington St
Name: start_station_name, dtype: object","269    41.883585
Name: start_lat, dtype: float64","269   -87.623721
Name: start_lng, dtype: float64"
126,KA1504000079,"270    Larrabee St & Division St
Name: start_station_name, dtype: object","270    41.903486
Name: start_lat, dtype: float64","270   -87.643353
Name: start_lng, dtype: float64"
127,13036,"273    Michigan Ave & Madison St
Name: start_station_name, dtype: object","273    41.882134
Name: start_lat, dtype: float64","273   -87.625125
Name: start_lng, dtype: float64"
128,636,"281    Orleans St & Hubbard St
Name: start_station_name, dtype: object","281    41.890028
Name: start_lat, dtype: float64","281   -87.636618
Name: start_lng, dtype: float64"
129,TA1309000010,"285    Wabash Ave & 9th St
Name: start_station_name, dtype: object","285    41.870769
Name: start_lat, dtype: float64","285   -87.625734
Name: start_lng, dtype: float64"
